,Message,Subject,Relation,Object,Label
826,Was that the one with Kendra Wilkinson? I've watched the one with her husband Hank Baskett.,Kendra Wilkinson,in_language,Robert Downey Jr.,0
827,"Oh cool, thanks! Do you know Will Bruin? I believe he was also a forward but I can't remember for which team.",Will Bruin,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
828,Do you have anything like  The Silence of the Lambs?,The Silence of the Lambs,has_person,Thomas Harris,0
829,We have Red Dragon and Hannibal which are sequels. ,Red Dragon,Winner,Thomas Harris,0
830,I think Paul McCartney is a phenomenal musician. Have you heard any of his music?,Paul McCartney,topic_server/webref_cluster_members_type,Wild Honey Pie,0
831,Paul McCartney wrote Yellow Submarine,Yellow Submarine,directed_by,John Lennon,0
832,I love that song! Did you know John Lennon composed Yellow Submarine for Paul McCartney?,Yellow Submarine,is-a,Paul McCartney,0
833,John Lennon Also wrote Bag One. Do you know of any others,John Lennon,Travel destination served,Yellow Submarine,0
834,Yes he is a basketball player his position is small forward.  He also played in the movie Imagine That,Imagine That,has_genre,Robert Downey Jr.,0
835,Could you recommend some movies that Marlon Brando is in?,Marlon Brando,music_by,The Score,0
836,I think Montgomery Clift is also in The Young Lions? What genre is that one?,Montgomery Clift,music_by,Robert Downey Jr.,0
837,Do you Rupert Wyatt?,Rupert Wyatt,is-a,Robert Downey Jr.,0
838,"Yes, he directed The Gambler; Rise of the Planet of the Apes.  Do either of those sound interesting to you?",Rise of the Planet of the Apes,time/participant/event,Rupert Wyatt,0
839,I have not seen Rise of the Planet of the Apes but it star James Franco who I love. ,James Franco,in_language,Your Highness,0
840,Do you have information about Laura Hillenbrand that you could share with me? ,Laura Hillenbrand,release_year,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",0
841,Laura Hillenbrand wrote Seabiscuit one of my favorite movies. If you haven't seen it I'd highly recommend it.,Seabiscuit,music_by,Robert Downey Jr.,0
842,Did you also see National Velvet another great horse movie.,National Velvet,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
843,Have you heard of Wayne Rooney?,Wayne Rooney,music_by,United Kingdom,0
844,Could you recommend any movies directed by Paul Thomas Anderson?,Paul Thomas Anderson,has_person,Robert Downey Jr.,0
845,Who stars in The Blind Side?,The Blind Side,is-a,Biographical film,0
846,"That's right, they began their career in Seoul! They make a style of pop music called k-pop!",Seoul,release_year,Robert Downey Jr.,0
847,do you like Michelle Wie?,Michelle Wie,topic_server/webref_cluster_members_type,Golf,0
848,"Yes,He is an Athlete",Athlete,release_year,Stephen Curry,0
849,so is Tom Brady do you like him?,Tom Brady,written_by,Robert Downey Jr.,0
850,Tom Brady: Spouse :Gisele.,Gisele,topic_server/webref_cluster_members_type,The Devil Wears Prada,0
851,Do you have anything directed by Sean Penn?,Sean Penn,has_person,What Just Happened,0
852,"Yes, Sean Penn wrote Into the Wild, starring William Hurt and Zach Galifianakis. He also produced it. Have you seen it?",Into the Wild,topic_server/webref_cluster_members_type,Jon Krakauer,0
853,Could you recommend a book similar to Life of Pi?,Life of Pi,music_by,Adventure fiction,0
854,Could you recommend a movie that stars Jason Flemyng?,Jason Flemyng,has_genre,Robert Downey Jr.,0
855,Could you recommend any other books related to Neuromancer?,Neuromancer,starred_actors,William Gibson,0
856,Sure. This books has genre speculative fiction just like Count Zero.,Count Zero,starred_actors,1986,0
857,William Gibson wrote Count Zero.,Count Zero,is-a,William Gibson,0
858,I like Aaron Rodgers. Could you give me some information about him?,Aaron Rodgers,time/event/participant,Quarterback,0
859,I recommend Gathering Blue.  It's another example of dystopian fiction.  ,Gathering Blue,has_person,Young-adult fiction,0
860,Could you recommend a book by Marion Wiesel.,Marion Wiesel,starred_actors,Robert Downey Jr.,0
861,I like Pulp Fiction.  Can you recommend something similar?,Pulp Fiction,topic_server/webref_cluster_members_type,Thriller,0
862,"If you like Pulp Fiction, I think you would like Grindhouse. It is also a Thriller and has the same vibe since it was also written by Tarantino. ",Grindhouse,has_person,Slasher,0
863,"It is a great one. I also like Unnatural, The Company, and Tezz.",Unnatural,time/event/participant,Thriller,0
864,I think I heard of Unnatural.  Who stars in it?,Unnatural,music_by,Gregory Cruz,0
865,I like Max Brooks. Any recommendations?,Max Brooks,music_by,The Zombie Survival Guide: Complete Protection from the Living Dead,0
866,Do you know who stars in The Big Lebowski?,The Big Lebowski,has_genre,Sam Elliott,0
867,Do you like the Los Angeles Dodgers?,Los Angeles Dodgers,in_language,Robert Downey Jr.,0
868,What do you think about the Atlanta Falcons?,Atlanta Falcons,has_person,National Football League,0
869,Do you know Donna Tartt?,Donna Tartt,time/event/participant,Robert Downey Jr.,0
870,"Yes, she wrote The Secret History and The Little Friend.  have you read any of these books?",The Secret History,music_by,Novel,0
871,I like movies like Ant-Man. Can you tell me some name of films that might be similar?,Ant-Man,time/participant/event,Sci-Fi,0
872,Any recommendations by Len Wiseman?,Len Wiseman,time/participant/event,Robert Downey Jr.,0
873,I liked The Last Olympian what are some other novels like it?,The Last Olympian,has_genre,Robert Downey Jr.,0
874,I've heard some people talk recently about the author Pauline Baynes.  Can you tell me what books she's written?,Pauline Baynes,has_genre,The Voyage of the Dawn Treader,0
875,My Daughter loves the book Rebecca. What are some other choices like this? ,Rebecca,has_genre,Sally Beauman,0
876,"Rebecca is written by Daphne du Maurier. Do you want to find more books by Daphne du Maurier, or gothic books in general?",Daphne du Maurier,time/participant/event,Rebecca,0
877,My Cousin Rachel has genre Historical period drama. Do you like that genre?,Historical period drama,time/event/participant,Robert Downey Jr.,0
878,"I think Yuvraj Singh is a great cricket player, have you watched him play?",Yuvraj Singh,music_by,Pune Warriors India,0
879,"He is married to Mary Shelley. She wrote, The Last Man and Frankenstein. I am sure you have probably heard of Frankenstein, but did you know that she had written it?",The Last Man,release_year,Vince Flynn,0
880,"I did, I remember reading that in highschool.  it was depressing! I heard The Last Man is post-apocalyptic fiction.  Can you tell me more about it?",The Last Man,is-a,Post-Apocalyptic fiction,0
881,Do you know of any books by Rosemary Wells?,Rosemary Wells,music_by,Robert Downey Jr.,0
882,"I really like Peter Boyle, can you tell me more about him?",Peter Boyle,has_genre,Robert Downey Jr.,0
883,"He stared in Young Frankenstein, have you seen that movie? It is hilarious.",Young Frankenstein,starred_actors,Robert Downey Jr.,0
884,"Yes by Mel Brooks, it is one of my favorites. ",Mel Brooks,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
885,What do you think about Taylor Swift?,Taylor Swift,directed_by,The Lorax (Animation Film) #10,0
886,"Is Taylor Swift a sibling of the fellow, Austin Swith?",Taylor Swift,release_year,Valentine's Day (Romantic comedy Film),0
887,Do you know what films Oliver Reed has acted in?,Oliver Reed,written_by,Robert Downey Jr.,0
888,Can you name some films Guy Ritchie directed? ,Guy Ritchie,starred_actors,Robert Downey Jr.,0
889,"One of the most popular ones is Snatched, along with RocknRolla, and Swept Away. Have you seen any of those ?",Snatch,written_by,Robert Downey Jr.,0
890,"Do you know anything about Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death? I am interested in these books.","Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death",has_genre,Robert Downey Jr.,0
891,Do you have information on the actor Quentin Tarantino?,Quentin Tarantino,Winner,Pulp Fiction,0
892,"He starred in Grindhouse, which is an action movie. Have you seen it?",Grindhouse,starred_actors,Thriller,0
893,Can you recommend another book like The Husband's Secret?,The Husband's Secret,in_language,Robert Downey Jr.,0
894,Could you recommend any movies similar to Taken 2?,Taken 2,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
895,"Of course! Taken 2 was written by Luc Besson, who also wrote Kiss of the Dragon and Bandidas.",Kiss of the Dragon,release_year,Robert Downey Jr.,0
896,"Oh Jet Li was in Kiss of the Dragon, I like action films like this. Are you also a fan?",Jet Li,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
897,I do enjoy Jet Li. Did you know he was also starred in Unleashed with Vincent Regan and Morgan Freeman?,Unleashed,release_year,Vincent Regan,0
898,Could you recommend movies that star Wes Studi?,Wes Studi,has_genre,Undisputed,0
899,"Sure! Wes Studi starred in The Only Good Indian, The New World, and The Lone Ranger. Have you seen any of these?",The Only Good Indian,has_genre,Robert Downey Jr.,0
900,I actually have seen The Only Good Indian. What genre is The New World?,The New World,time/event/participant,John Savage,0
901,The New World is a romance film that was directed by Terrence Malick,The New World,has_person,Romance Film,0
902,Hmm.. Does that one also star John Savage?,John Savage,time/participant/event,Robert Downey Jr.,0
903,Do you know Arundhati Roy?,Arundhati Roy,has_person,Robert Downey Jr.,0
904,"Yes, she is a writer from India. She wrote The God of Small Things. Would you like to know about her books?",The God of Small Things,has_genre,Arundhati Roy,0
905,Wizard and Glass was also released in 1997.  Do you know of any other books released then?,1997,in_language,Wizard and Glass,0
906,"Are there any books similar to ""Dead Until Dark""?",Dead Until Dark,time/participant/event,Robert Downey Jr.,0
907,Could you recommend anything that Kevin Dunn has starred in?,Kevin Dunn,music_by,Warrior,0
908,"Hi, can you tell me about the author Frédéric Mugler?",Frédéric Mugler,music_by,Ἰλιάς,0
909,That is interesting.  He also starred in Tin Cup,Tin Cup,time/event/participant,Robert Downey Jr.,0
910,Do you follow the Brooklyn Nets?,Brooklyn Nets,starred_actors,National Basketball Association,0
911,not really.  I just know their coach name is Jason Kidd and the team is owned by Jay-z.,Jason Kidd,topic_server/webref_cluster_members_type,Point guard,0
912,Oh yeah. I think he coached the Milwaukee Bucks too. ,Milwaukee Bucks,written_by,National Basketball Association,0
913,Oh yea that's right. they drafted  T. J. Ford right?,T. J. Ford,release_year,Robert Downey Jr.,0
914,I like Pearl S. Buck. Do you know of anything they wrote?,Pearl S. Buck,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
915,Do you enjoy watching Marco Reus play ?,Marco Reus,is-a,Midfielder,0
916,Do you have anything by director Richard Marquand?,Richard Marquand,time/event/participant,Robert Downey Jr.,0
917,Not all of them. Is Ian McDiarmid in that?,Ian McDiarmid,written_by,Robert Downey Jr.,0
918,Could you recommend a book similar to Pride and Prejudice?,Pride and Prejudice,has_person,Novel,0
919,Do you know of Noah Emmerich?,Noah Emmerich,has_person,Robert Downey Jr.,0
920,"Yes I do, he starred in Windtalkers, Warrior, and Tumbleweeds just to name a few. Have you seen any of those?",Tumbleweeds,has_person,Robert Downey Jr.,0
921,"I liked the book The Light Between Oceans, can you please recommend me similar books?",The Light Between Oceans,topic_server/webref_cluster_members_type,M.L. Stedman,0
922,You might Like Rebel Spring or The Kitchen House perhaps.,Rebel Spring,has_genre,Michelle Rowen,0
923,Who wrote Rebel Spring and when was it released?,Rebel Spring,starred_actors,Morgan Rhodes,0
924,I like the movie Armageddon.,Armageddon,music_by,Sci-Fi,0
925,"I like the book Pride and Prejudice, can you recommend similar titles?",Pride and Prejudice,music_by,Satire,0
926,Do you like Herman Melville?,Herman Melville,has_person,"Bartleby, the Scrivener: A Story of Wall Street",0
927,"I do. Herman Melville wrote Moby Dick; or, The Whale. It was a good read.",Herman Melville,release_year,"Moby-Dick; or, The Whale",0
928,Could you recommend a movie similar to The Illusionist.,The Illusionist,release_year,Thriller,0
929,Do you know Umberto Eco?,Umberto Eco,in_language,Robert Downey Jr.,0
930,Yeah I need to read more of his work for school. Is Storia della bruttezza also his work?,Storia della bruttezza,has_person,Robert Downey Jr.,0
931,"Do you have any information on the movie, Boyhood?",Boyhood,is-a,Richard Linklater,0
932,It stars Libby Villari and Ellar Coltrane.,Libby Villari,is-a,Robert Downey Jr.,0
933,Wasn't it written by Leo Tolstoy?,Leo Tolstoy,time/event/participant,Robert Downey Jr.,0
934,Could you recommend any good books by the author Ernest H. Shepard?,Ernest H. Shepard,release_year,Winnie-the-Pooh,0
935,Sure! He has written several children's literature including Winnie-the-Pooh and Now We Are Six. Are you familiar with these?,Now We Are Six,topic_server/webref_cluster_members_type,Literature,0
936,I did not know that Shephard wrote Now We Are Six. Wasn't it released in 1927? ,Now We Are Six,is-a,Literature,0
937,That's right. Now We Are Six is considered as a children's poetry. You might also be interested in the book The Tao of Pooh.,Now We Are Six,is-a,Ernest H. Shepard,0
938,Could you recommend movies similar to 500 Days of Summer ?,500 Days of Summer,has_person,Chloë Grace Moretz,0
939,Could you recommend something like The Devil Wears Prada?,The Devil Wears Prada,time/participant/event,Romance Film,0
940,"Oh, I adored that movie.  It starred Meryl Streep, Emily Blunt and Anne Hathaway.  Do you want something with a similar cast, or do you want a recommendation based off genre?",Meryl Streep,in_language,Robert Downey Jr.,0
941,Could you recommend some good movies by Matt Reeves? ,Matt Reeves,in_language,The Pallbearer,0
942,My pleasure. He wrote The Pallbearer and Let Me In,Let Me In,has_person,Kodi Smit-McPhee,0
943,Hello. Could you recommend some films by the director Anne Fletcher?,Anne Fletcher,release_year,Robert Downey Jr.,0
944,"Sure, she directed The Proposal, which is starring Craig T. Nelson. Have you seen it yet?",The Proposal,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
945,"Oh, that was starring Ryan Reynolds and Sandra Bullock. I loved that movie! I love both of them too.",Sandra Bullock,is-a,Robert Downey Jr.,0
946,I agree. Did you know that Sandra Bullock also starred in Miss Congeniality?,Miss Congeniality,time/event/participant,Robert Downey Jr.,0
947,"Do you know the NBA player, Chris Paul?",Chris Paul,topic_server/webref_cluster_members_type,Winston-Salem,0
948,Can you recommend anything by William Hootkins? ,William Hootkins,has_person,White Nights,0
949,He starred in Flash Gordon,Flash Gordon,release_year,Robert Downey Jr.,0
950,Could you recommend anything that Paul Greengrass has directed?,Paul Greengrass,is-a,Robert Downey Jr.,0
951,He directed United 93 starring Gregg Henry and David Alan Basche.,United 93,topic_server/webref_cluster_members_type,Drama,0
952,Do you know what genre United 93 is by chance?,United 93,directed_by,Paul Greengrass,0
953,Could you recommend something similar to The Lorax?,The Lorax,directed_by,Theodore Lesieg,0
954,I like director Francis Ford Coppola. What are some films he's done?,Francis Ford Coppola,has_genre,The Godfather Part II,0
955,He's written Apocalypse Now. Have you seen that? It stars Robert Duvall.,Robert Duvall,time/participant/event,Get Low,0
956,That's okay. I think he was in a movie called The Apostle. Do you know anyone else who starred in that?,The Apostle,has_person,Robert Duvall,0
957,"Yeah, another great Tolkien book is called The Silmarillion. I would highly recommend it.",The Silmarillion,has_person,Robert Downey Jr.,0
958,"Do you have anything like the book, Naked?",Naked,time/participant/event,Anthology,0
959,Yes! Do you like books written by Raine Miller or the genre humor?,Raine Miller,has_person,Naked,0
960,I love Humor! Did Raine Miller write Eyes Wide Open?,Raine Miller,music_by,Naked,0
961,Could you recommend any movies directed by Wes Craven?,Wes Craven,has_genre,Scream 4,0
962,Do you know who Jeremy Tambling is?,Jeremy Tambling,has_genre,David Copperfield,0
963,"I don't like him, I prefer Zadie Smith.",Zadie Smith,starred_actors,On Beauty,0
964,Do you have anything good to say about Justin Bieber?,Justin Bieber,time/participant/event,Selena Gomez,0
965,Do you have any books you would recommend by Chuck Palahniuk?,Chuck Palahniuk,release_year,Tell-All,0
966,Sure! He's written Tell-All and Lullaby. Are you looking for a specific genre?,Lullaby,release_year,Robert Downey Jr.,0
967,I really loved Lullaby. I would be interested in other Speculative fiction suggestions. ,Speculative fiction,starred_actors,Winter's Tale,0
968,"Zoe's Tale, Wyrd Sisters and Xenocide are all Speculative fiction. I think you may really enjoy them!",Zoe's Tale,release_year,The Last Colony,0
969,I heard Zoe's Tale is wonderful. Is it written by John Scalzi?,John Scalzi,time/participant/event,Lock In,0
970,I like John Carpenter. What movie do you recommend directed by him?,John Carpenter,is-a,Escape from New York,0
971,He wrote some cool science fiction ones like The Fog and They Live. Have you seen those?,The Fog,release_year,Jamie Lee Curtis,0
972,"No I haven't. The Fog sounds cool, what else can you tell me about it?",The Fog,time/event/participant,John Carpenter,0
973,Sure that one stars Jamie Lee Curtis and DeRay Davis. That one was a TV series.,Jamie Lee Curtis,written_by,You Again,0
974,Could you recommend any movies Orlando Bloom starred in? I like him.,Orlando Bloom,music_by,Wilde,0
975,"Interesting! Didn't Orlando Bloom star in the action adventure, drama The Lord of The Rings: The Return of the King?",Orlando Bloom,release_year,Wilde,0
976,No I have not. Who else was in Wild Bill?,Wild Bill,is-a,Robert Downey Jr.,0
977,What do you think of the Chicago Bears>,Chicago Bears,topic_server/webref_cluster_members_type,Virginia Halas McCaskey,0
978,Do you like the Boston Celtics?,Boston Celtics,music_by,2010 NBA Finals,0
979,"Oh yeah! Doc Rivers was a wonderful coach. They won the Championship in 2007 with him, right?",Doc Rivers,written_by,Boston Celtics,0
980,Do you know if Manny Pacquiao is retired?,Manny Pacquiao,topic_server/webref_cluster_members_type,Wam Bam Pac's The Man,0
981,"Yes, he directed The Sea Inside and The Others. Have you seen those?",The Sea Inside,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
982,"I do not know when they were released, but The Sea Inside is a romantic drama and The Others is a mystery. ",The Others,Winner,Nicole Kidman,0
983,"I like romantic dramas, and mysteries. Do you know who starred in The Others? ",The Others,time/participant/event,Henry James,0
984,Could you recommend books written by Greg Bear?,Greg Bear,in_language,Robert Downey Jr.,0
985,"Sure, he actually wrote a favorite of mine, The Time Machine as well as The Forge of God.",The Time Machine,directed_by,H.G. Wells,0
986,"Certainly! You should check out The End of Eternity, it falls under the Time travel genre. It was written by Isaac Asimov.",The End of Eternity,in_language,Science Fiction,0
987,Al Pacino was really good. What about you?,Al Pacino,in_language,Looking for Richard,0
988,I think Al Pachino was the best too. He was also great in Two for the Money. Have you seen that yet?,Two for the Money,release_year,Robert Downey Jr.,0
989,I have not seen that movie. I know Two for the Money starred Matthew McConaughey. Do you like any of his movies?,Matthew McConaughey,music_by,Magic Mike,0
990,Do you know about the french footballer Karim Benzema? Is he good?,Karim Benzema,topic_server/webref_cluster_members_type,France national football team,0
991,"I know a few players like Toni Kroos, but I'm more of a fan of American football",Toni Kroos,in_language,Midfielder,0
992,Do you know Aldous Huxley?,Aldous Huxley,topic_server/webref_cluster_members_type,Island,0
993,"I like the book Me Before You, can you recommend something similar?",Me Before You,release_year,Robert Downey Jr.,0
994,Do you know anything about Matched?,Matched,music_by,Robert Downey Jr.,0
995,Do you like The Fault in Our Stars? ,The Fault in Our Stars,topic_server/webref_cluster_members_type,Young-adult fiction,0
996,Yep! It's a great movie. It's written by John Green and stars Sam Trammell. Are you interested in either of those people?,John Green,release_year,"Will Grayson, Will Grayson",0
997,Yes John Green also did Paper Towns. ,Paper Towns,starred_actors,Romance,0
998,Yes they are interesting Paper Towns is also Young-adult fiction.,Young-adult fiction,music_by,"Will Grayson, Will Grayson",0
999,Any book recommendations from Margaret Mitchell?,Margaret Mitchell,has_person,Robert Downey Jr.,0
1000,Do you know anything about the movie Armageddon?,Armageddon,time/participant/event,Tony Gilroy,0
1001,What do you think about Blake Shelton?,Blake Shelton,time/event/participant,The Dreamer (Country Album),0
1002,"Oh yes that was nice also, Blake Shelton began is career in Nashville did you know that?",Nashville,music_by,Robert Downey Jr.,0
1003,I couldn't find any in particular. His work was influenced by J. D. Salinger and F. Scott Fitzgerald. Do you enjoy their books?,J. D. Salinger,time/participant/event,Robert Downey Jr.,0
1004,"Yes, I remember reading The Catcher in the Rye by Salinger. What else did he write?",The Catcher in the Rye,Winner,Literary realism,0
1005,I enjoyed the book about Steve Jobs. What can you tell me about it?,Steve Jobs,time/event/participant,Robert Downey Jr.,0
1006,Do you know Peter Dinklage?,Peter Dinklage,has_person,X-Men: Days of Future Past,0
1007,"Yes, he is a very acclaimed actor, starring in The Station Agent and The Boss, and many other movies.",The Station Agent,in_language,Robert Downey Jr.,0
1008,Do you like Frédéric Mugler?,Frédéric Mugler,is-a,Ὀδύσσεια,0
1009,I am not too familiar with him but I think I have heard that he may have written or rewritten a version of Homer's Iliac?,Homer,is-a,Troy (Epic Film),0
1010,"Yes, I studied in in Latin. And I think Francis Ford Coppola produced a TV version of the Odyssey.",Francis Ford Coppola,is-a,Apocalypse Now,0
1011,"Yes, he also produced The Godfather Part II. Do you like dramas?",The Godfather Part II,in_language,Robert Downey Jr.,0
1012,"Yes, he also produced The Godfather Part II. Do you like dramas?",The Godfather,release_year,Talia Shire,0
1013,Do you know Simona Halep?,Simona Halep,time/participant/event,Maria Sharapova,0
1014,Could you recommend a book similar to Mere Christianity.,Mere Christianity,starred_actors,The Abolition of Man,0
1015,Do you know Margaret Mitchell?,Margaret Mitchell,starred_actors,Robert Downey Jr.,0
1016,Margaret Mitchell wrote Gone with the Wind. Gone with the Wind has genre Novel. Do you like her work?,Gone with the Wind,in_language,Robert Downey Jr.,0
1017,I recommend World Without End.,World Without End,is-a,Historical fiction,0
1018,"Could you tell me who wrote the book, The Girl on the Train?",The Girl on the Train,time/participant/event,France,0
1019,can you give me book recommendations similar to Little House on the Prairie?,Little House on the Prairie,starred_actors,Robert Downey Jr.,0
1020,Yes! Laura Ingalls Wilder also wrote The Long Winter and The First Four Years. Have you read those?,Laura Ingalls Wilder,has_genre,These Happy Golden Years,0
1021,I like Jim Varney what is he in,Jim Varney,is-a,Wilder Napalm,0
1022,Could you recommend something based on the author Frank Herbert?,Frank Herbert,has_genre,The Great Dune Trilogy,0
1023,"He wrote Heretics of Dune, which has great reviews",Heretics of Dune,starred_actors,Robert Downey Jr.,0
1024,I may have heard of that. I think it's Science Fiction.,Science Fiction,written_by,Wyrd Sisters,0
1025,Correct.  It was written in 1974,1974,starred_actors,Robert Downey Jr.,0
1026,I like Alexander Gould. Can you suggest some of his movies?,Alexander Gould,has_genre,Wheelmen,0
1027,Do you know who starred in the movie The Island?,The Island,has_genre,Scarlett Johansson,0
1028,Yes. Tom Everett and Steve Buscemi are among the starring actors in that film. Are you familiar with these actors?,Tom Everett,has_person,Robert Downey Jr.,0
1029,"I like the author Fiona Stafford, can you tell me what she has written?",Fiona Stafford,time/event/participant,Robert Downey Jr.,0
1030,"Okay, I believe Jane Austen also wrote Emma? ",Jane Austen,is-a,Sense and Sensibility,0
1031,Could you recommend a book written by Arundhati Roy?,Arundhati Roy,time/participant/event,Robert Downey Jr.,0
1032,"Do you know Blink: The Power of Thinking Without Thinking, I would like to learn more about it",Blink: The Power of Thinking Without Thinking,release_year,Robert Downey Jr.,0
1033,I do. It was authored by Malcolm Gladwell. Maybe you know him from What The Dog Saw and Other Adventures?,Malcolm Gladwell,time/participant/event,What the Dog Saw and Other Adventures,0
1034,"Yes I do, didn't he also write Outliers: The Story of Success",Outliers: The Story of Success,time/participant/event,English,0
1035,"Sure thing, David and Goliath and The Tipping Point: How Little Things Can Make a Big Difference are also by him.",David and Goliath,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
1036,Do you have any movies by Hayley Atwell?,Hayley Atwell,has_person,Robert Downey Jr.,0
1037,The Pillars of the Earth and London are two movies that Hayley Atwell starred in. Are you interested in thrillers?,The Pillars of the Earth,release_year,Robert Downey Jr.,0
1038,yes i am.. isnt The Pillars of the Earth is starring Sarah Parish as well?,Sarah Parish,has_person,Robert Downey Jr.,0
1039,"Yes, she starred in the TV series. Sarah Parish was also in The Wedding Date? Did you see that movie?",The Wedding Date,time/event/participant,Debra Messing,0
1040,Omg. I love the Wedding Date. What other Romance Film do you have?,Romance Film,release_year,You Again,0
1041,Do you like the Washington Redskins?,Washington Redskins,has_person,Vince Lombardi,0
1042,Do you know any books by Truman Capote?,Truman Capote,time/event/participant,Utterly Cold Blooded,0
1043,Do you have anything by Nina Auerbach?,Nina Auerbach,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
1044,Dracula is a popular one by that author.,Dracula,topic_server/webref_cluster_members_type,David J. Skal,0
1045,Do you have anything by Robert DeMaria Jr.?,Robert DeMaria Jr.,in_language,Robert Downey Jr.,0
1046,Do you like : Jerry B. Jenkins?,Jerry B. Jenkins,time/participant/event,Robert Downey Jr.,0
1047,Yes! He wrote Nicolae: The Rise of Antichrist.,Nicolae: The Rise of Antichrist,has_genre,Robert Downey Jr.,0
1048,Nicolae: The Rise of Antichrist is written by Tim LaHaye,Tim LaHaye,has_genre,Tribulation Force: The Continuing Drama of Those Left Behind,0
1049,You're right! I read and liked The Sacrilege: The Antichrist Takes the Throne.,The Sacrilege: The Antichrist Takes the Throne,topic_server/webref_cluster_members_type,Robert Downey Jr.,0
1050,The Sacrilege: The Antichrist Takes the Throne is written by Tim LaHaye,Tim LaHaye,topic_server/webref_cluster_members_type,Tribulation Force: The Continuing Drama of Those Left Behind,0
1051,"Yes, he did.  Armageddon: The Cosmic Battle of the Ages looks interesting too.",Armageddon: The Cosmic Battle of the Ages,has_genre,Robert Downey Jr.,0
1052,Armageddon: The Cosmic Battle of the Ages was released 2003,2003,starred_actors,X-Men 2,0
1053,2003 was also the year that Wolves of the Calla was released.,Wolves of the Calla,release_year,Robert Downey Jr.,0
1054,Wolves of the Calla is written by Stephen King. Stephen King : `~has_person`: Maine,Stephen King,time/participant/event,Wizard and Glass,0
1055,I like John Lennon What songs does he sing,John Lennon,time/event/participant,With a Little Help From My Friends,0
1056,He wrote so many! I really like the ones he wrote with McCartney like Yellow Submarine. Did you know he starred in the movie version?,Yellow Submarine,directed_by,Paul McCartney,0
1057,Do you know anything about Carmelo Anthony?,Carmelo Anthony,has_person,Tyson (Documentary Film),0
1058,I'm more of a tennis follower.  I like Serena Williams.  Do you like tennis?,Serena Williams,time/participant/event,Writer,0
1059,Could you recommend me a movie that's like The Terminator?,The Terminator,written_by,Robert Downey Jr.,0
1060,Things that are both Sci-fi and Dystopian would be great. Like eXistenZ.,eXistenZ,is-a,Jennifer Jason Leigh,0
1061,"Sure thing! Other movies include The Purge, The Matrix Revolutions, and Skyline. Would you like more?",The Purge,is-a,Robert Downey Jr.,0
1062,Do you know anything about the author Pearl S. Buck?,Pearl S. Buck,time/event/participant,Robert Downey Jr.,0
1063,"Yes, he wrote The Good Earth which is a Historical period drama. Have you read it?",The Good Earth,in_language,Romance Film,0
1064,Could you recommend some books like the Complete Harry Potter Boxed Set,Complete Harry Potter Boxed Set,release_year,Robert Downey Jr.,0
1065,If you enjoyed this J.K Rowling series then maybe you will also like The Casual Vacancy.,The Casual Vacancy,is-a,J.K. Rowling,0
1066,Maybe you'd be interested in The Great Divorce. Seems odd for a title but sure is a good one.,The Great Divorce,has_person,Robert Downey Jr.,0
1067,I love the book Como agua para chocolate. Can you please tell me who the author is?,Como agua para chocolate,time/event/participant,Thomas  Christensen,0
1068,I like Romance films! Do you have any recommendations for those?,Romance,time/participant/event,What's Eating Gilbert Grape,0
1069,Do you like BTS?,BTS,has_genre,Singer,0
1070,"They are, do you like pop music? Paul McCartney is really good",McCartney,in_language,Pop music,0
1071,I do not consider Paul McCartney pop music but I would say maybe Soft rock or just  rock. You like his music?,McCartney,is-a,Rock music,0
1072,Could you recommend a movie similar to The Avengers?,The Avengers,time/event/participant,Scarlett Johansson,0
1073,Yes I have seen them all. Is X-Men 2 is written by Zak Penn?,Zak Penn,music_by,Robert Downey Jr.,0
1074,I like Ron Howard. Can you recommend some movies he has directed?,Ron Howard,time/participant/event,The Missing,0
1075,"He directed A Beautiful Mind, which starred Michael Abbott Jr.. Have you seen it?",A Beautiful Mind,time/event/participant,Russell Crowe,0
1076,I have. Ed Harris was in that as well. Do you like him?,Ed Harris,time/participant/event,Robert Downey Jr.,0
1077,"Oh yeah. He also starred in my favorite; Game Change, which was written by Mark Halperin",Game Change,release_year,Sarah Paulson,0
1078,I like Game Change. The guy who directed that also directed Austin Powers in Goldmember. Did you see that movie?,Austin Powers in Goldmember,is-a,Robert Downey Jr.,0
1079,Do you like the New Orleans Saints?,New Orleans Saints,time/participant/event,Sean Payton,0
1080,If you like them I like them. Did you know that they are owned by Tom Benson and Rita Benson LeBlanc?,Tom Benson,starred_actors,New Orleans,0
1081,What do you think about Rory McIlroy?,Rory McIlroy,time/event/participant,Northern Ireland,0
1082,I like the movie Hugo.  Can you give me some recommendations?,Hugo,in_language,Robert Downey Jr.,0
